k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.73832,6815,0.8102,6815,0.86,6815
10,0.80924,13630,0.865775,13630,0.9223,13630
15,0.83092,20445,0.8906,20445,0.9457,20445
20,0.84322,27260,0.905575,27260,0.95724,27260
25,0.85264,34075,0.9171,34075,0.9643,34075
30,0.85984,40890,0.925025,40890,0.97046,40890
35,0.86554,47705,0.93055,47705,0.97432,47705
40,0.87076,54520,0.934625,54520,0.97844,54520
45,0.87584,61335,0.93945,61335,0.98278,61335
50,0.87954,68150,0.943475,68150,0.98554,68150
55,0.88386,74965,0.947325,74965,0.98708,74965
60,0.88722,81780,0.94925,81780,0.98846,81780
65,0.89032,88595,0.95155,88595,0.98922,88595
70,0.89292,95410,0.95365,95410,0.98984,95410
75,0.89494,102225,0.955375,102225,0.9903,102225
80,0.89616,109040,0.956325,109040,0.99092,109040
85,0.8983,115855,0.958275,115855,0.99182,115855
90,0.90062,122670,0.9598,122670,0.99246,122670
95,0.90202,129485,0.96135,129485,0.99304,129485
100,0.9043,136300,0.962325,136300,0.9932,136300
105,0.9054,143115,0.964625,143115,0.99336,143115
110,0.90754,149930,0.965375,149930,0.9943,149930
115,0.90924,156745,0.96615,156745,0.99444,156745
120,0.91092,163560,0.9671,163560,0.99444,163560
125,0.91138,170375,0.967875,170375,0.99476,170375
130,0.91322,177190,0.967875,177190,0.99492,177190
135,0.91384,184005,0.96865,184005,0.99522,184005
140,0.91522,190820,0.969425,190820,0.99522,190820
145,0.916,197635,0.969825,197635,0.99522,197635
150,0.91722,204450,0.970775,204450,0.99522,204450
155,0.918,211265,0.971925,211265,0.99538,211265
160,0.9189,218080,0.973075,218080,0.99554,218080
165,0.92076,224895,0.974025,224895,0.99554,224895
170,0.92184,231710,0.974825,231710,0.9957,231710
175,0.92264,238525,0.976375,238525,0.9957,238525
180,0.92308,245340,0.976925,245340,0.9957,245340
185,0.9237,252155,0.9783,252155,0.99586,252155
190,0.92508,258970,0.97905,258970,0.99586,258970
195,0.92616,265785,0.979225,265785,0.99602,265785
200,0.9274,272600,0.979825,272600,0.99602,272600
