k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.80292,21725,0.87354,15000,0.90886,15000
10,0.8235,43450,0.89708,30000,0.91768,30000
15,0.83526,65175,0.91178,45000,0.9265,45000
20,0.84408,86900,0.92354,60000,0.93238,60000
25,0.84996,108625,0.93238,75000,0.93532,75000
30,0.8529,130350,0.9412,90000,0.93532,90000
35,0.85584,152075,0.94414,105000,0.94414,105000
40,0.85878,173800,0.94708,120000,0.94708,120000
45,0.8647,195525,0.95002,135000,0.94708,135000
50,0.86764,217250,0.95884,150000,0.94708,150000
55,0.86764,238975,0.95884,165000,0.95296,165000
60,0.87058,260700,0.95884,180000,0.9559,180000
65,0.87646,282425,0.96472,195000,0.9559,195000
70,0.87646,304150,0.96472,210000,0.9559,210000
75,0.87646,325875,0.96766,225000,0.9559,225000
80,0.87942,347600,0.97354,240000,0.95884,240000
85,0.88532,369325,0.97354,255000,0.95884,255000
90,0.88826,391050,0.97354,270000,0.95884,270000
95,0.89414,412775,0.97354,285000,0.95884,285000
100,0.89414,434500,0.97354,300000,0.96178,300000
105,0.89708,456225,0.97354,315000,0.96472,315000
110,0.90004,477950,0.97354,330000,0.96472,330000
115,0.90004,499675,0.97354,345000,0.96766,345000
120,0.90592,521400,0.97648,360000,0.96766,360000
125,0.90886,543125,0.97648,375000,0.96766,375000
130,0.90886,564850,0.97648,390000,0.9706,390000
135,0.90886,586575,0.97942,405000,0.9706,405000
140,0.9118,608300,0.97942,420000,0.9706,420000
145,0.91474,630025,0.97942,435000,0.97354,435000
150,0.91768,651750,0.98236,450000,0.97648,450000
155,0.91768,673475,0.98236,465000,0.97648,465000
160,0.91768,695200,0.98236,480000,0.97648,480000
165,0.91768,716925,0.98236,495000,0.97942,495000
170,0.91768,738650,0.98236,510000,0.97942,510000
175,0.91768,760375,0.98236,525000,0.97942,525000
180,0.92062,782100,0.98236,540000,0.97942,540000
185,0.92062,803825,0.98236,555000,0.97942,555000
190,0.92062,825550,0.9853,570000,0.97942,570000
195,0.92062,847275,0.9853,585000,0.97942,585000
200,0.92062,869000,0.9853,600000,0.97942,600000
