k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.99714,13080,0.96792,11470,0.99616,11470
10,0.9976,26160,0.97816,22940,0.99742,22940
15,0.99788,39240,0.98248,34410,0.9984,34410
20,0.99796,52320,0.98544,45880,0.99886,45880
25,0.99832,65400,0.98662,57350,0.99894,57350
30,0.99852,78480,0.9885,68820,0.99932,68820
35,0.99852,91560,0.98986,80290,0.9995,80290
40,0.99868,104640,0.99084,91760,0.9995,91760
45,0.99868,117720,0.99156,103230,0.9995,103230
50,0.99876,130800,0.99228,114700,0.9996,114700
55,0.99876,143880,0.993,126170,0.9996,126170
60,0.99876,156960,0.99346,137640,0.9996,137640
65,0.99876,170040,0.9941,149110,0.9996,149110
70,0.99876,183120,0.99446,160580,0.9996,160580
75,0.99876,196200,0.99446,172050,0.9996,172050
80,0.99876,209280,0.99472,183520,0.9996,183520
85,0.99886,222360,0.9951,194990,0.9996,194990
90,0.99886,235440,0.99518,206460,0.9996,206460
95,0.99894,248520,0.99552,217930,0.9996,217930
100,0.99894,261600,0.99598,229400,0.9996,229400
105,0.99912,274680,0.99642,240870,0.9996,240870
110,0.99912,287760,0.99678,252340,0.9996,252340
115,0.99912,300840,0.99678,263810,0.9996,263810
120,0.99912,313920,0.99706,275280,0.9996,275280
125,0.99922,327000,0.99724,286750,0.9996,286750
130,0.99922,340080,0.9975,298220,0.9996,298220
135,0.99922,353160,0.99768,309690,0.9996,309690
140,0.9993,366240,0.99778,321160,0.9996,321160
145,0.9993,379320,0.99786,332630,0.9996,332630
150,0.9993,392400,0.99786,344100,0.9996,344100
155,0.9993,405480,0.99796,355570,0.9996,355570
160,0.9994,418560,0.99804,367040,0.9996,367040
165,0.9995,431640,0.99804,378510,0.9996,378510
170,0.9995,444720,0.99804,389980,0.9996,389980
175,0.9995,457800,0.99804,401450,0.9996,401450
180,0.9995,470880,0.99804,412920,0.9996,412920
185,0.9995,483960,0.99822,424390,0.9996,424390
190,0.9995,497040,0.99822,435860,0.9996,435860
195,0.9995,510120,0.99822,447330,0.9996,447330
200,0.9995,523200,0.99822,458800,0.9996,458800
