k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.8499,12770,0.68628,12770,0.94386,12770
10,0.90852,25540,0.73762,25540,0.96902,25540
15,0.93014,38310,0.7682,38310,0.97858,38310
20,0.94034,51080,0.78504,51080,0.9844,51080
25,0.94802,63850,0.79792,63850,0.98708,63850
30,0.95404,76620,0.8131,76620,0.99044,76620
35,0.95674,89390,0.82162,89390,0.99228,89390
40,0.96008,102160,0.82722,102160,0.99356,102160
45,0.96402,114930,0.83368,114930,0.99502,114930
50,0.96588,127700,0.83908,127700,0.99584,127700
55,0.96822,140470,0.84364,140470,0.99604,140470
60,0.96842,153240,0.84762,153240,0.99604,153240
65,0.96984,166010,0.8528,166010,0.99664,166010
70,0.9709,178780,0.85572,178780,0.99664,178780
75,0.97298,191550,0.85924,191550,0.99686,191550
80,0.97382,204320,0.86236,204320,0.99708,204320
85,0.97506,217090,0.86486,217090,0.99728,217090
90,0.9761,229860,0.86716,229860,0.99792,229860
95,0.97712,242630,0.86904,242630,0.99792,242630
100,0.97774,255400,0.8709,255400,0.99792,255400
105,0.97816,268170,0.87446,268170,0.99792,268170
110,0.979,280940,0.8763,280940,0.99814,280940
115,0.97982,293710,0.87878,293710,0.99836,293710
120,0.97982,306480,0.8817,306480,0.99836,306480
125,0.97982,319250,0.88314,319250,0.99858,319250
130,0.98046,332020,0.88462,332020,0.99898,332020
135,0.98086,344790,0.8867,344790,0.99918,344790
140,0.98108,357560,0.88816,357560,0.9994,357560
145,0.98108,370330,0.88982,370330,0.9994,370330
150,0.98148,383100,0.8923,383100,0.9996,383100
155,0.9819,395870,0.89354,395870,0.9996,395870
160,0.98252,408640,0.89458,408640,0.9996,408640
165,0.98356,421410,0.89606,421410,1,421410
170,0.98376,434180,0.8969,434180,1,434180
175,0.9844,446950,0.89876,446950,1,446950
180,0.98482,459720,0.90018,459720,1,459720
185,0.98524,472490,0.90082,472490,1,472490
190,0.98524,485260,0.90226,485260,1,485260
195,0.98524,498030,0.9033,498030,1,498030
200,0.98546,510800,0.9054,510800,1,510800
