k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.5554,6770,0.56336,6770,0.5494,6770
10,0.62538,13540,0.64298,13540,0.61358,13540
15,0.6535,20310,0.68376,20310,0.64698,20310
20,0.6747,27080,0.70826,27080,0.668,27080
25,0.68922,33850,0.72768,33850,0.68558,33850
30,0.70246,40620,0.74686,40620,0.69938,40620
35,0.7126,47390,0.75938,47390,0.7108,47390
40,0.72132,54160,0.7699,54160,0.72274,54160
45,0.72946,60930,0.78132,60930,0.73326,60930
50,0.73526,67700,0.78804,67700,0.7418,67700
55,0.74124,74470,0.79748,74470,0.74906,74470
60,0.74742,81240,0.80364,81240,0.75574,81240
65,0.75232,88010,0.81144,88010,0.76248,88010
70,0.75576,94780,0.81812,94780,0.76934,94780
75,0.75976,101550,0.8243,101550,0.77568,101550
80,0.76446,108320,0.8288,108320,0.78078,108320
85,0.76972,115090,0.83392,115090,0.7855,115090
90,0.77244,121860,0.83898,121860,0.79074,121860
95,0.77516,128630,0.84442,128630,0.79404,128630
100,0.77804,135400,0.84862,135400,0.79692,135400
105,0.78134,142170,0.85312,142170,0.8002,142170
110,0.78532,148940,0.85712,148940,0.80182,148940
115,0.78822,155710,0.86112,155710,0.8058,155710
120,0.79074,162480,0.86364,162480,0.80832,162480
125,0.79238,169250,0.86618,169250,0.81108,169250
130,0.79492,176020,0.86834,176020,0.8127,176020
135,0.7971,182790,0.8718,182790,0.81578,182790
140,0.80036,189560,0.87364,189560,0.81758,189560
145,0.80164,196330,0.8758,196330,0.8194,196330
150,0.80328,203100,0.8794,203100,0.82122,203100
155,0.80562,209870,0.88214,209870,0.82266,209870
160,0.80742,216640,0.88504,216640,0.82502,216640
165,0.8096,223410,0.88832,223410,0.82812,223410
170,0.81124,230180,0.89066,230180,0.82938,230180
175,0.81286,236950,0.89302,236950,0.83136,236950
180,0.81452,243720,0.8941,243720,0.83372,243720
185,0.81634,250490,0.89666,250490,0.83626,250490
190,0.8185,257260,0.8981,257260,0.8377,257260
195,0.81976,264030,0.89992,264030,0.83934,264030
200,0.82156,270800,0.90138,270800,0.84062,270800
