k,deepblocker,deepblocker_css,simcse,simcse_css,tsdae,tsdae_css
5,0.764,25590,0.76754,25590,0.7916,25590
10,0.80334,51180,0.80502,51180,0.83024,51180
15,0.82166,76770,0.82314,76770,0.85298,76770
20,0.83656,102360,0.83414,102360,0.86698,102360
25,0.85112,127950,0.84552,127950,0.87706,127950
30,0.86008,153540,0.85652,153540,0.88432,153540
35,0.86788,179130,0.86286,179130,0.89012,179130
40,0.87388,204720,0.87146,204720,0.89572,204720
45,0.8791,230310,0.8776,230310,0.90242,230310
50,0.88432,255900,0.8819,255900,0.90914,255900
55,0.89068,281490,0.88732,281490,0.91342,281490
60,0.8946,307080,0.88918,307080,0.91734,307080
65,0.89984,332670,0.89422,332670,0.92184,332670
70,0.90282,358260,0.8987,358260,0.92554,358260
75,0.9084,383850,0.9015,383850,0.92892,383850
80,0.91324,409440,0.90466,409440,0.93414,409440
85,0.91642,435030,0.908,435030,0.9375,435030
90,0.91904,460620,0.91064,460620,0.94236,460620
95,0.92164,486210,0.91194,486210,0.94534,486210
100,0.92462,511800,0.91454,511800,0.94816,511800
105,0.92816,537390,0.91622,537390,0.95132,537390
110,0.93024,562980,0.9179,562980,0.953,562980
115,0.93358,588570,0.92014,588570,0.95466,588570
120,0.93544,614160,0.92238,614160,0.95636,614160
125,0.93752,639750,0.92446,639750,0.95748,639750
130,0.93916,665340,0.92594,665340,0.95934,665340
135,0.9405,690930,0.9278,690930,0.961,690930
140,0.94252,716520,0.92874,716520,0.96308,716520
145,0.9444,742110,0.92948,742110,0.96474,742110
150,0.94572,767700,0.9304,767700,0.96568,767700
155,0.94814,793290,0.93172,793290,0.96698,793290
160,0.95074,818880,0.93358,818880,0.9683,818880
165,0.9528,844470,0.93416,844470,0.96994,844470
170,0.95412,870060,0.93472,870060,0.97034,870060
175,0.95616,895650,0.9362,895650,0.97162,895650
180,0.95672,921240,0.93732,921240,0.97256,921240
185,0.95784,946830,0.9375,946830,0.97292,946830
190,0.9584,972420,0.93826,972420,0.97404,972420
195,0.96008,998010,0.93864,998010,0.97462,998010
200,0.9616,1023600,0.93958,1023600,0.97592,1023600
