id,aggregate value
0,actor 1984-01-01 1905-01-01 Edmon Ryan
1,actor 2013-01-01 Steve Forrest 1925-01-01
2,"Gar ho yuet yuen 44 2008-01-01 Gar ho yuet yuen Comedy,Drama 0"
3,"Albert Banzon camera_department,cinematographer,writer"
4,2017-01-01 55 0 Drama 6 Chapter 58 5 Chapter 58
5,"George Lopez producer,actor,writer 1961-01-01"
6,"actor,writer,producer 1973-01-01 Wallace Bosco 1880-01-01"
7,8 Bonusprogram med extra tester Bonusprogram med extra tester 0 Comedy 2019-01-01 3
8,"For God and Country 1996-01-01 Crime,Drama,Mystery 0 For God and Country 12 4"
9,"actor,producer,soundtrack 1976-01-01 Benedict Cumberbatch"
10,"Genki Yoshimura writer,actress,director"
11,"Sayid actor,miscellaneous"
12,1931-01-01 actress Jeanne Moody
13,writer Elizabeth Enright
14,actor 1990-01-01 Fredrik Svensson
15,John Bayliss actor
16,"Poslednyaya zhertva 1976-01-01 Poslednyaya zhertva 103 0 Drama,Romance"
17,"2 7 0 Action,Drama,Mystery Motherhunt: Part 2 2002-01-01 Motherhunt: Part 2"
18,actor Ryo Ishibashi 1956-01-01
19,"30 1 Grudge Match 0 21 Grudge Match Adventure,Drama,Family 1961-01-01"
20,John Vivyan actor 1983-01-01 1915-01-01
21,"actor,writer Hellmut Lange 2011-01-01 1923-01-01"
22,"Joel Schumacher 1939-01-01 2020-01-01 director,writer,producer"
23,30 0 Drama Circles of Panic 1959-01-01 7 5 Circles of Panic
24,actor 1894-01-01 1979-01-01 Joseph J. Greene
25,Paul Quinn
26,2 30 The Refinement of 'Ab' 0 The Refinement of 'Ab' Drama 21 1955-01-01
27,"1 A Shot in the Dark A Shot in the Dark Crime,Drama,Mystery 0 4 1993-01-01"
28,H? Xuy?n actress
29,"1988-01-01 actor,miscellaneous Don Haggerty 1914-01-01"
30,"1 Point of Entry Drama,Sport,Western 0 Point of Entry 21 1963-01-01 60"
31,1922-01-01 actor Don Megowan 1981-01-01
32,actor 1991-01-01 1933-01-01 Ben Piazza
33,Danica Dawn Johnston actress
34,"1940-01-01 Russell Banks writer,producer,actor"
35,actor 2001-01-01 1907-01-01 Abdulkhair Kasymov
36,1992-01-01 Margie Liszt actress 1909-01-01
37,"2 2004-01-01 0 Biography,Comedy,Documentary Thomas Paine Thomas Paine 4"
38,"Richard Yearwood actor,director,producer 1970-01-01"
39,"William Bruckner writer,director 1915-01-01 1987-01-01"
40,"writer,script_department Ester Namdar"
41,1 Adventure 1962-01-01 0 2 The Shark Affair The Shark Affair
42,"1938-01-01 production_designer,director,art_director Boris Blank"
43,Cheryl Crotser actress
44,"Janet McTeer 1961-01-01 actress,writer,producer"
45,"Collin O'Neal actor,director,producer"
46,actress Pamela Dean
47,1963-01-01 writer 1897-01-01 Robert J. Hogan
48,"1983-01-01 1901-01-01 Alec C. Snowden producer,director,actor"
49,"actress,producer,writer 1970-01-01 Ingrid Veninger"
50,"Linda Chung 1984-01-01 actress,animation_department,soundtrack"
51,"George W. George writer,producer,miscellaneous 1920-01-01 2007-01-01"
52,2014-01-01 Stanford Whitmore writer 1925-01-01
53,"1921-01-01 actor,miscellaneous,director 1976-01-01 Alan DeWitt"
54,"2 30 Ede's Bombshell 1962-01-01 0 Ede's Bombshell Adventure,Drama,Family 25"
55,"1938-01-01 actress,soundtrack Grit Boettcher"
56,"Gene Barry 2009-01-01 actor,writer,soundtrack 1919-01-01"
57,"actress,writer,script_department 1940-01-01 Beverly Hayes"
58,"Maximilian Schell 2014-01-01 1930-01-01 actor,director,writer"
59,30 1 1954-01-01 19 Big Little Lie 0 Drama Big Little Lie
60,"2009-01-01 1917-01-01 actor,sound_department,producer John Hart"
61,"2019-01-01 Jan Merlin actor,writer,miscellaneous 1925-01-01"
62,"2009-01-01 actor,producer,director 1937-01-01 Don Edmonds"
63,1943-01-01 actress Susan Seaforth Hayes
64,2 Adventure 1960-01-01 0 Sink or Swim 48 11 Sink or Swim
65,"1 Comedy,War Folge 4 1972-01-01 0 Folge 4 4"
66,"producer,writer,miscellaneous Matt Witten"
67,"1997-01-01 actress,soundtrack 1913-01-01 Ruth Storey"
68,Michael Elwyn 1942-01-01 actor
69,"visual_effects,actor,writer Doc Hammer"
70,Kirt Struemph
71,"Gaby Stenberg 2011-01-01 1923-01-01 actress,soundtrack"
72,writer David Robinson
73,"1938-01-01 Tony Morphett writer,producer,script_department 2018-01-01"
74,Kevin Carlyon
75,Brad Goertz actor
76,"Frank DeKova 1910-01-01 actor,soundtrack 1981-01-01"
77,"director,producer,assistant_director Daniel Attias"
78,"1946-01-01 Johnny Crawford actor,soundtrack,music_department"
79,"Alik Sakharov cinematographer,director,producer 1959-01-01"
80,1988-01-01 1916-01-01 actor Whitfield Connor
81,1 Adventure The Mask of Talugi 1962-01-01 0 24 The Mask of Talugi
82,"Tucker Gates director,producer,miscellaneous"
83,30 The Hero The Hero 2011-01-01 0 8 Comedy 6
84,Ruth Brady actress 1920-01-01 1997-01-01
85,"Hugh Corcoran 1947-01-01 actor,producer"
86,"1972-01-01 writer,producer,script_department 1915-01-01 Ed Adamson"
87,"Ben Cole cinematographer,camera_department,editor"
88,1933-01-01 actress June Kenney
89,"Mariano Lisa writer,director,cinematographer"
90,"Charles F. Haas director,producer,actor 2011-01-01 1913-01-01"
91,2 Adventure Adam San 29 0 Adam San 1961-01-01 60
92,2 Chapter 18 2014-01-01 0 Drama Chapter 18 5 50
93,"production_manager,producer,miscellaneous 2002-01-01 1912-01-01 John London"
94,Jacqueline deWit actress 1912-01-01 1998-01-01
95,"1985-01-01 actor,soundtrack J. Pat O'Malley 1904-01-01"
96,"Joe Walker editor,sound_department,composer"
97,2 21 1999-01-01 Episode #2.4 Episode #2.4 0 Drama 4
98,"1928-01-01 2020-01-01 actor,soundtrack,miscellaneous Dick Balduzzi"
99,Heinz Klevenow actor 1975-01-01 1908-01-01
100,30 1 Thanksgiving in Beaver Run Thanksgiving in Beaver Run 0 Drama 10 1953-01-01
101,1935-01-01 actor Norman Ollestad 1979-01-01
102,"2021-01-01 1926-01-01 Cloris Leachman actress,soundtrack"
103,"Merry Anders 2012-01-01 actress,soundtrack 1934-01-01"
